"time","value"
"2026-03-17 10:18:20.175+00",0
"2026-03-17 10:18:20.385+00",0
"2026-03-17 10:19:24.536+00",0
"2026-03-17 10:19:27.196+00",0
"2026-03-17 10:20:33.117+00",0
"2026-03-17 10:21:38.779+00",0
"2026-03-17 10:22:26.95+00",0
"2026-03-17 10:22:45.579+00",0
"2026-03-17 10:23:31.895+00",0
"2026-03-17 10:23:51.455+00",0
"2026-03-17 10:24:35.454+00",0
"2026-03-17 10:24:57.55+00",0
"2026-03-17 10:26:03.735+00",0
"2026-03-17 10:26:53.163+00",0
"2026-03-17 10:27:09.858+00",0
"2026-03-17 10:28:16.132+00",0
"2026-03-17 10:29:22.315+00",0
"2026-03-17 10:30:06.786+00",0
"2026-03-17 10:30:28.433+00",0
"2026-03-17 10:31:34.554+00",0
"2026-03-17 10:32:40.774+00",0
"2026-03-17 10:33:18.362+00",0
"2026-03-17 10:33:46.974+00",0
"2026-03-17 10:34:06.511+00",0
"2026-03-17 10:34:53.129+00",0
"2026-03-17 10:35:59.665+00",0
"2026-03-17 10:37:05.927+00",0
"2026-03-17 10:38:12.231+00",0
"2026-03-17 10:39:18.515+00",0
"2026-03-17 10:39:22.96+00",0
"2026-03-17 10:40:24.848+00",0
"2026-03-17 10:40:44.75+00",0
"2026-03-17 10:41:50.268+00",0
"2026-03-17 10:42:35.69+00",0
"2026-03-17 10:42:53.459+00",0
"2026-03-17 10:43:41.233+00",0
"2026-03-17 10:44:42.626+00",0
"2026-03-17 10:44:46.144+00",0
"2026-03-17 10:45:47.096+00",0
"2026-03-17 10:45:51.882+00",0
"2026-03-17 10:46:57.107+00",0
"2026-03-17 10:48:02.232+00",0
"2026-03-17 10:48:56.013+00",0
"2026-03-17 10:49:07.902+00",0
"2026-03-17 10:49:16.322+00",0
"2026-03-17 10:50:13.162+00",0
"2026-03-17 10:50:19.506+00",0
"2026-03-17 10:51:18.542+00",0
"2026-03-17 10:51:24.363+00",0
"2026-03-17 10:52:23.673+00",0
"2026-03-17 10:53:29.178+00",0
"2026-03-17 10:54:34.457+00",0
"2026-03-17 10:55:38.237+00",0
"2026-03-17 10:55:40.906+00",0
"2026-03-17 10:56:42.12+00",0
"2026-03-17 10:56:46.04+00",0
"2026-03-17 10:57:51.534+00",0
"2026-03-17 10:58:48.048+00",0
"2026-03-17 10:58:56.757+00",0
"2026-03-17 11:00:02.762+00",0
